Н-462;Богданы (от автомобильной дороги Н-427 Домачево – Приборово – Томашовка) – Липинки (до автомобильной дороги Р-94/П 1 Подъезд к границе Республики Польша (Томашовка) со съездом к границе Украины от автомобильной дороги Р-94);9/101102
Н-463;Обход агрогородка Остромечево от автомобильной дороги Н-425 Вулька – Остромечево до автомобильной дороги Н-344 Каменец – Тростяница – Лыщицы – Волчин;9/101102
Н-464;Митьки – Котельня-Боярская;9/101102
Н-465;Чернавчицы – Холмичи;9/101102
Н-466;Большие Мотыкалы – Нехолсты (до автомобильной дороги Р-16 Тюхиничи – Высокое – граница Республики Польша (Песчатка);9/101102
Н-467;Черни – Селяхи;9/101102
Н-472;Иваново – Мотоль – Тышковичи – Оброво;9/101102
Н-473;Дружиловичи – Псыщево – Ополь;9/101102
Н-474;Иваново – Сочивки – Кривица;9/101102
Н-475;Замошье – Полкотичи;9/101102
Н-476;Конотоп – Журавок – Овзичи;9/101102
Н-477;Дубое – Кужеличин;9/101102
Н-478;Мохро – Одрижин – Смольники;9/101102
Н-479;Мотоль – Ополь – Бездеж;9/101102
Н-480;Рудск – Сухое – Яечковичи;9/101102
Н-481;Лясковичи – Достоево – Молодово – Бусса;9/101102
Н-482;Полкотичи – Отолчицы;9/101102
Н-483;Замошье – Калилы – Трилисски;9/101102
Н-485;Гневчицы – Бошня;9/101102
Н-486;Одрижин – Вивнево;9/101102
Н-487;Одрижин – Стромец;9/101102
Н-488;Одрижин – Подыще – Корсынь;9/101102
Н-489;Хомичево – Красное – Мохро;9/101102
Н-490;Новолучки – Боровая – Достоево;9/101102
Н-491;Молодово – Песчанка;9/101102
Н-492;Псыщево – Лучки – Псыщево;9/101102
Н-493;Кротово – Новоселки – Вилы;9/101102
Н-494;Юхновичи – Евлаши;9/101102
Н-495;Застружье – Зарудье – Красиевка;9/101102
Н-496;Достоево – Вулька-Достоевская;9/101102
Н-497;Псыщево – Упирово;9/101102
Н-498;Вороцевичи – Трудовая;9/101102
Н-499;Рудск – Пешково;9/112949
Н-500;Радовня – Крытышин – Гневчицы;9/101102
Н-501;Иваново – Снитово;9/101102
